id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,mobil_penumpang,sepeda_motor,mobil_bus,mobil_barang,jumlah_kendaraan,satuan,tahun
36.0,32,JAWA BARAT,3209.0,KABUPATEN CIREBON,56054,658894,1263,24539,,UNIT,2022
13.0,32,JAWA BARAT,3213.0,KABUPATEN SUBANG,28985,394115,462,11713,,UNIT,2021
32.0,32,JAWA BARAT,3205.0,KABUPATEN GARUT,35819,388271,915,16232,,UNIT,2022
71.0,32,JAWA BARAT,3217.0,KABUPATEN BANDUNG BARAT,72948,554116,518,21730,,UNIT,2023
59.0,32,JAWA BARAT,3205.0,KABUPATEN GARUT,38134,396769,886,16407,,UNIT,2023
86.0,0,0,0.0,KABUPATEN GARUT,39787,403226,909,16475,,UNIT,2024
28.0,32,JAWA BARAT,3201.0,KABUPATEN BOGOR,184107,1433350,973,48429,,UNIT,2022
66.0,32,JAWA BARAT,3212.0,KABUPATEN INDRAMAYU,39598,481853,783,17656,,UNIT,2023
42.0,32,JAWA BARAT,3215.0,KABUPATEN KARAWANG,95760,738650,1382,30066,,UNIT,2022
45.0,32,JAWA BARAT,3218.0,KABUPATEN PANGANDARAN,6822,78327,47,4175,,UNIT,2022
62.0,32,JAWA BARAT,3208.0,KABUPATEN KUNINGAN,29525,313328,569,9079,,UNIT,2023
57.0,32,JAWA BARAT,3203.0,KABUPATEN CIANJUR,41747,422844,639,19490,,UNIT,2023
6.0,32,JAWA BARAT,3206.0,KABUPATEN TASIKMALAYA,21384,282206,639,11154,,UNIT,2021
